
Epoch: 142, train_Loss: 818.854, val_Loss: 743.496
Epoch: 143, train_Loss: 805.351, val_Loss: 764.084
Epoch: 144, train_Loss: 787.054, val_Loss: 748.631
Epoch: 145, train_Loss: 754.834, val_Loss: 733.228
Epoch: 146, train_Loss: 739.739, val_Loss: 727.362
Epoch: 147, train_Loss: 732.761, val_Loss: 720.617
Epoch: 148, train_Loss: 710.866, val_Loss: 724.086
Epoch: 149, train_Loss: 697.263, val_Loss: 738.188
Epoch: 150, train_Loss: 688.460, val_Loss: 696.852
Epoch: 151, train_Loss: 667.382, val_Loss: 720.619
Epoch: 152, train_Loss: 663.336, val_Loss: 682.169
Epoch: 153, train_Loss: 638.448, val_Loss: 688.426
Epoch: 154, train_Loss: 615.269, val_Loss: 696.808
Epoch: 155, train_Loss: 619.721, val_Loss: 681.118
Epoch: 156, train_Loss: 605.732, val_Loss: 704.490
Epoch: 157, train_Loss: 591.683, val_Loss: 691.164
Epoch: 158, train_Loss: 569.403, val_Loss: 678.509
Epoch: 159, train_Loss: 567.515, val_Loss: 668.445
Epoch: 160, train_Loss: 582.724, val_Loss: 693.472
Epoch: 161, train_Loss: 547.786, val_Loss: 672.376
Epoch: 162, train_Loss: 526.018, val_Loss: 668.483
Epoch: 163, train_Loss: 514.091, val_Loss: 664.675
Epoch: 164, train_Loss: 508.175, val_Loss: 674.646
Epoch: 165, train_Loss: 496.672, val_Loss: 658.189
Epoch: 166, train_Loss: 487.617, val_Loss: 670.224
Epoch: 167, train_Loss: 492.829, val_Loss: 660.628
Epoch: 168, train_Loss: 470.968, val_Loss: 661.751
Epoch: 169, train_Loss: 464.438, val_Loss: 668.958
Epoch: 170, train_Loss: 458.109, val_Loss: 654.219
Epoch: 171, train_Loss: 465.848, val_Loss: 671.361
Epoch: 172, train_Loss: 445.020, val_Loss: 663.074
Epoch: 173, train_Loss: 446.615, val_Loss: 677.712
Epoch: 174, train_Loss: 437.878, val_Loss: 653.513
Epoch: 175, train_Loss: 422.729, val_Loss: 668.586
Epoch: 176, train_Loss: 419.420, val_Loss: 634.366
Epoch: 177, train_Loss: 413.736, val_Loss: 671.486
Epoch: 178, train_Loss: 404.445, val_Loss: 661.136
Epoch: 179, train_Loss: 405.532, val_Loss: 666.524
Epoch: 180, train_Loss: 402.544, val_Loss: 635.707
Epoch: 181, train_Loss: 391.498, val_Loss: 655.856
